"nro","parent","name"
218,209,"Cosmetic Services"
219,209,"Domestic Science"
220,208,"Transport Services"
221,220,"Seamanship"
222,220,"Ship’s Officer"
223,220,"Nautical Science"
224,220,"Air Crew"
225,220,"Air Traffic Control"
226,220,"Railway Operations"
227,220,"Road Motor Vehicle Operations"
228,220,"Postal Services"
229,208,"Environmental Proteccion"
230,229,"Environmental Conservation, Control and Protection"
231,229,"Air and Water Pollution Control"
232,229,"Labour Protection and Security"
233,208,"Security Services"
234,233,"Police"
235,233,"Law Enforcement"
236,233,"Criminology"
237,233,"Fire-Protection and Fire Fighting"
238,233,"Civil Security"
239,233,"Military"
